order_id,customer_id,product,region,quarter,year,quantity,unit_price,revenue,sales_rep,channel
O00082,CUST0047,Add-on AI,NA,Q3,2024,50,1361.85,68092.5,REP026,Partner
O00083,CUST0058,Add-on AI,LATAM,Q1,2023,48,1765.66,84751.68,REP013,Partner
O00084,CUST0119,Enterprise,EMEA,Q1,2025,12,1370.61,16447.32,REP030,Direct
O00085,CUST0174,Add-on AI,NA,Q1,2023,35,1403.08,49107.8,REP009,Online
O00086,CUST0023,Add-on Analytics,LATAM,Q3,2025,9,2078.87,18709.83,REP028,Partner
O00087,CUST0266,Enterprise,LATAM,Q2,2023,45,1608.81,72396.45,REP003,Inside Sales
O00088,CUST0085,API Credits,APAC,Q1,2025,49,838.51,41086.99,REP028,Online
O00089,CUST0014,API Credits,NA,Q1,2023,49,78.25,3834.25,REP028,Direct
O00090,CUST0300,Pro Plan,NA,Q1,2024,11,1906.02,20966.22,REP023,Partner
O00091,CUST0276,API Credits,APAC,Q4,2023,29,1969.94,57128.26,REP002,Direct
O00092,CUST0059,Add-on AI,APAC,Q2,2024,21,978.66,20551.86,REP025,Online
O00093,CUST0076,Add-on AI,LATAM,Q3,2023,6,1387.15,8322.9,REP010,Inside Sales
O00094,CUST0148,Add-on AI,NA,Q1,2023,12,2069.67,24836.04,REP011,Inside Sales
O00095,CUST0014,Pro Plan,NA,Q4,2023,33,1114.99,36794.67,REP001,Online
O00096,CUST0046,Starter,APAC,Q2,2024,23,1609.84,37026.32,REP017,Partner
O00097,CUST0212,Enterprise,APAC,Q4,2024,37,351.21,12994.77,REP017,Partner
O00098,CUST0159,Enterprise,LATAM,Q3,2024,43,170.04,7311.72,REP024,Direct
O00099,CUST0107,Enterprise,LATAM,Q1,2025,31,179.94,5578.14,REP020,Inside Sales
O00100,CUST0270,Enterprise,EMEA,Q3,2023,50,1579.78,78989.0,REP003,Direct
O00101,CUST0130,Add-on AI,NA,Q3,2023,8,2169.87,17358.96,REP029,Direct
O00102,CUST0091,Add-on AI,LATAM,Q3,2025,47,683.72,32134.84,REP016,Partner
O00103,CUST0271,API Credits,NA,Q2,2024,46,1921.44,88386.24,REP013,Online
O00104,CUST0205,Add-on AI,APAC,Q2,2023,44,210.55,9264.2,REP024,Partner
O00105,CUST0125,Add-on Analytics,EMEA,Q3,2024,20,438.55,8771.0,REP012,Inside Sales
O00106,CUST0129,Pro Plan,LATAM,Q2,2023,20,2403.9,48078.0,REP028,Direct
O00107,CUST0182,Starter,APAC,Q4,2024,41,1005.21,41213.61,REP028,Direct
O00108,CUST0189,Starter,EMEA,Q2,2024,15,1816.75,27251.25,REP010,Partner
O00109,CUST0158,Add-on Analytics,APAC,Q1,2025,6,1201.09,7206.54,REP028,Online
O00110,CUST0124,Add-on AI,EMEA,Q1,2023,47,316.96,14897.12,REP027,Online
O00111,CUST0032,API Credits,APAC,Q3,2025,9,1190.92,10718.28,REP002,Online
O00112,CUST0111,Enterprise,APAC,Q1,2024,16,551.37,8821.92,REP007,Online
O00113,CUST0114,Enterprise,NA,Q3,2025,8,1017.06,8136.48,REP003,Direct
O00114,CUST0064,Add-on AI,NA,Q4,2025,30,1817.07,54512.1,REP020,Partner
O00115,CUST0102,Add-on Analytics,EMEA,Q2,2025,6,1595.64,9573.84,REP005,Inside Sales
O00116,CUST0018,API Credits,NA,Q3,2023,3,2211.84,6635.52,REP003,Inside Sales
O00117,CUST0257,Add-on Analytics,NA,Q3,2024,7,1181.2,8268.4,REP001,Partner
O00118,CUST0172,Add-on Analytics,NA,Q2,2023,2,1485.92,2971.84,REP018,Partner
O00119,CUST0242,API Credits,LATAM,Q1,2023,45,974.36,43846.2,REP009,Online
O00120,CUST0110,Add-on Analytics,APAC,Q1,2025,27,2295.85,61987.95,REP020,Online
O00121,CUST0037,Pro Plan,APAC,Q2,2023,5,812.51,4062.55,REP004,Online
O00122,CUST0176,Pro Plan,EMEA,Q2,2023,26,1348.23,35053.98,REP025,Inside Sales
O00123,CUST0111,Add-on AI,EMEA,Q2,2023,47,436.31,20506.57,REP003,Partner
O00124,CUST0040,Pro Plan,APAC,Q4,2024,22,877.35,19301.7,REP030,Direct
O00125,CUST0022,Starter,NA,Q3,2023,34,1363.46,46357.64,REP025,Online
O00126,CUST0024,Add-on AI,NA,Q2,2024,26,1100.24,28606.24,REP004,Partner
O00127,CUST0029,Add-on AI,EMEA,Q4,2023,3,2362.43,7087.29,REP012,Inside Sales
O00128,CUST0014,Add-on Analytics,EMEA,Q4,2025,6,2054.52,12327.12,REP022,Inside Sales
O00129,CUST0090,Enterprise,APAC,Q1,2024,48,571.49,27431.52,REP029,Online
O00130,CUST0094,Add-on Analytics,NA,Q3,2023,28,1297.24,36322.72,REP016,Inside Sales
O00131,CUST0108,Add-on AI,APAC,Q4,2025,42,2260.92,94958.64,REP010,Direct
O00132,CUST0003,Add-on AI,LATAM,Q1,2023,20,2246.08,44921.6,REP025,Partner
O00133,CUST0282,API Credits,EMEA,Q3,2024,16,1218.37,19493.92,REP014,Direct
O00134,CUST0064,Pro Plan,NA,Q2,2023,42,967.04,40615.68,REP022,Online
O00135,CUST0025,Add-on AI,APAC,Q4,2025,45,94.23,4240.35,REP019,Direct
O00136,CUST0009,API Credits,LATAM,Q3,2024,37,495.36,18328.32,REP009,Partner
O00137,CUST0216,Add-on AI,LATAM,Q4,2025,46,1453.33,66853.18,REP028,Online
O00138,CUST0275,Starter,LATAM,Q4,2023,34,774.09,26319.06,REP021,Partner
O00139,CUST0011,Add-on AI,APAC,Q2,2024,37,302.21,11181.77,REP019,Partner
O00140,CUST0115,Starter,EMEA,Q2,2023,7,503.14,3521.98,REP025,Inside Sales
O00141,CUST0029,Add-on Analytics,NA,Q4,2025,36,2403.54,86527.44,REP018,Inside Sales
O00142,CUST0214,Pro Plan,LATAM,Q2,2024,41,338.41,13874.81,REP006,Partner
O00143,CUST0113,Starter,APAC,Q3,2025,47,608.87,28616.89,REP021,Partner
O00144,CUST0146,Pro Plan,APAC,Q2,2025,36,1904.68,68568.48,REP014,Direct
O00145,CUST0175,Pro Plan,EMEA,Q2,2025,37,1544.52,57147.24,REP013,Online
O00146,CUST0282,Add-on Analytics,LATAM,Q2,2024,43,701.79,30176.97,REP012,Inside Sales
O00147,CUST0219,Pro Plan,EMEA,Q1,2023,1,1426.4,1426.4,REP025,Partner
O00148,CUST0062,Starter,EMEA,Q3,2025,22,2452.16,53947.52,REP025,Online
O00149,CUST0160,Add-on AI,APAC,Q4,2025,10,639.47,6394.7,REP021,Direct
O00150,CUST0001,Pro Plan,LATAM,Q1,2023,31,1893.22,58689.82,REP020,Inside Sales
O00151,CUST0199,Add-on AI,EMEA,Q4,2023,4,336.12,1344.48,REP003,Direct
O00152,CUST0014,Pro Plan,NA,Q2,2025,22,2067.72,45489.84,REP013,Direct
O00153,CUST0038,API Credits,APAC,Q3,2023,19,1593.16,30270.04,REP002,Inside Sales
O00154,CUST0299,Add-on Analytics,LATAM,Q4,2023,41,1328.43,54465.63,REP021,Partner
O00155,CUST0144,Starter,NA,Q1,2025,24,590.25,14166.0,REP029,Inside Sales
O00156,CUST0084,Pro Plan,LATAM,Q4,2024,39,739.68,28847.52,REP029,Partner
O00157,CUST0071,Starter,NA,Q4,2024,43,368.57,15848.51,REP018,Direct
O00158,CUST0197,Pro Plan,EMEA,Q4,2025,41,2073.71,85022.11,REP019,Direct
O00159,CUST0274,Starter,NA,Q3,2023,26,2344.61,60959.86,REP007,Partner
O00160,CUST0068,Starter,APAC,Q2,2024,15,268.51,4027.65,REP023,Partner
O00161,CUST0279,Pro Plan,LATAM,Q2,2024,26,316.35,8225.1,REP001,Partner
O00162,CUST0084,Pro Plan,LATAM,Q2,2025,7,242.56,1697.92,REP004,Partner
O00163,CUST0163,Enterprise,LATAM,Q4,2023,33,2449.88,80846.04,REP016,Online
O00164,CUST0039,API Credits,APAC,Q4,2023,13,584.72,7601.36,REP010,Online
O00165,CUST0166,Pro Plan,EMEA,Q1,2025,11,2168.17,23849.87,REP028,Inside Sales
O00166,CUST0049,Add-on Analytics,APAC,Q3,2025,3,2434.04,7302.12,REP010,Direct
O00167,CUST0053,Add-on Analytics,LATAM,Q2,2024,14,1721.02,24094.28,REP018,Direct
O00168,CUST0263,Enterprise,EMEA,Q2,2024,48,1987.8,95414.4,REP003,Direct
O00169,CUST0275,Enterprise,NA,Q2,2025,6,2201.54,13209.24,REP021,Partner
O00170,CUST0280,Starter,LATAM,Q3,2025,27,470.47,12702.69,REP026,Inside Sales
O00171,CUST0277,Enterprise,NA,Q2,2024,15,2193.1,32896.5,REP028,Partner
O00172,CUST0294,Add-on Analytics,NA,Q3,2024,2,879.25,1758.5,REP016,Inside Sales
O00173,CUST0032,Add-on Analytics,LATAM,Q4,2025,8,1161.26,9290.08,REP008,Inside Sales
O00174,CUST0193,Add-on AI,EMEA,Q2,2023,24,1923.11,46154.64,REP003,Partner
O00175,CUST0082,Pro Plan,LATAM,Q2,2023,41,905.79,37137.39,REP022,Online
O00176,CUST0054,API Credits,APAC,Q1,2024,35,2472.74,86545.9,REP013,Partner
O00177,CUST0090,Pro Plan,EMEA,Q1,2025,42,1936.72,81342.24,REP011,Inside Sales
O00178,CUST0274,API Credits,APAC,Q4,2025,3,1415.94,4247.82,REP008,Inside Sales
O00179,CUST0065,Pro Plan,APAC,Q3,2025,2,2385.06,4770.12,REP026,Direct
O00180,CUST0129,Add-on AI,APAC,Q2,2025,35,1111.22,38892.7,REP021,Partner
O00181,CUST0263,Add-on AI,NA,Q3,2025,22,2123.03,46706.66,REP021,Direct
O00182,CUST0260,Add-on Analytics,NA,Q3,2024,29,1583.86,45931.94,REP023,Inside Sales
O00183,CUST0279,Add-on Analytics,LATAM,Q1,2024,12,626.44,7517.28,REP013,Inside Sales
O00184,CUST0096,Pro Plan,LATAM,Q2,2025,50,2431.67,121583.5,REP009,Inside Sales
O00185,CUST0237,Add-on Analytics,LATAM,Q1,2025,5,1812.55,9062.75,REP013,Partner
O00186,CUST0079,Enterprise,APAC,Q4,2025,32,1810.42,57933.44,REP017,Partner
O00187,CUST0273,Starter,NA,Q4,2025,3,1986.79,5960.37,REP013,Partner
O00188,CUST0016,API Credits,APAC,Q2,2024,4,1753.98,7015.92,REP025,Inside Sales
O00189,CUST0234,Add-on AI,NA,Q4,2025,40,863.1,34524.0,REP001,Direct
O00190,CUST0176,Starter,APAC,Q2,2024,35,480.97,16833.95,REP009,Partner
O00191,CUST0072,Starter,APAC,Q4,2024,38,1015.46,38587.48,REP006,Partner
O00192,CUST0138,Add-on Analytics,EMEA,Q2,2025,35,1861.43,65150.05,REP028,Partner
O00193,CUST0041,API Credits,APAC,Q1,2024,26,452.83,11773.58,REP006,Online
O00194,CUST0295,Enterprise,LATAM,Q4,2023,22,1003.24,22071.28,REP019,Partner
O00195,CUST0190,Pro Plan,EMEA,Q2,2024,34,1539.45,52341.3,REP028,Direct
O00196,CUST0251,Add-on AI,APAC,Q4,2024,24,112.87,2708.88,REP013,Online
O00197,CUST0148,Starter,EMEA,Q1,2025,21,1902.17,39945.57,REP001,Partner
O00198,CUST0263,Add-on AI,NA,Q3,2025,40,343.95,13758.0,REP030,Direct
O00199,CUST0102,Add-on AI,APAC,Q4,2025,31,453.8,14067.8,REP019,Partner
O00200,CUST0108,Add-on Analytics,APAC,Q3,2023,6,2104.48,12626.88,REP003,Online
O00201,CUST0168,Enterprise,NA,Q3,2024,7,850.58,5954.06,REP007,Partner
O00202,CUST0244,API Credits,NA,Q3,2025,14,2052.97,28741.58,REP008,Inside Sales
O00203,CUST0137,Enterprise,NA,Q4,2024,3,89.34,268.02,REP010,Direct
O00204,CUST0271,Pro Plan,LATAM,Q1,2024,12,1168.75,14025.0,REP018,Direct
O00205,CUST0067,Enterprise,APAC,Q2,2024,1,715.62,715.62,REP013,Partner
O00206,CUST0220,Add-on Analytics,NA,Q2,2024,36,2032.29,73162.44,REP011,Inside Sales
O00207,CUST0086,Enterprise,LATAM,Q4,2025,29,734.87,21311.23,REP023,Online
O00208,CUST0174,API Credits,LATAM,Q3,2025,43,735.05,31607.15,REP012,Online
O00209,CUST0061,Pro Plan,LATAM,Q3,2023,33,365.8,12071.4,REP011,Direct
O00210,CUST0158,Starter,EMEA,Q2,2023,3,155.04,465.12,REP019,Partner
O00211,CUST0060,Starter,APAC,Q1,2023,9,1624.49,14620.41,REP003,Partner
O00212,CUST0268,Enterprise,LATAM,Q1,2024,22,1227.3,27000.6,REP018,Partner
O00213,CUST0267,Add-on AI,LATAM,Q1,2024,20,746.69,14933.8,REP013,Inside Sales
O00214,CUST0114,Add-on Analytics,LATAM,Q2,2024,45,2476.63,111448.35,REP029,Inside Sales
O00215,CUST0004,Enterprise,APAC,Q3,2025,27,416.78,11253.06,REP028,Partner
O00216,CUST0036,Add-on AI,EMEA,Q3,2024,14,2376.77,33274.78,REP026,Partner
O00217,CUST0033,Enterprise,EMEA,Q1,2025,9,516.54,4648.86,REP020,Partner
O00218,CUST0031,Add-on Analytics,NA,Q1,2025,20,1578.97,31579.4,REP029,Direct
O00219,CUST0105,API Credits,LATAM,Q2,2024,17,1249.37,21239.29,REP012,Direct
O00220,CUST0045,API Credits,LATAM,Q2,2024,26,1320.77,34340.02,REP006,Partner
O00221,CUST0186,Add-on AI,APAC,Q3,2024,30,836.08,25082.4,REP016,Partner
O00222,CUST0167,Enterprise,NA,Q4,2023,37,2358.24,87254.88,REP017,Inside Sales
O00223,CUST0053,Add-on Analytics,NA,Q4,2025,36,640.67,23064.12,REP018,Partner
O00224,CUST0033,Add-on Analytics,EMEA,Q4,2023,42,1198.49,50336.58,REP007,Inside Sales
O00225,CUST0096,Pro Plan,APAC,Q2,2025,42,1477.26,62044.92,REP006,Partner
O00226,CUST0110,API Credits,LATAM,Q2,2025,37,2278.62,84308.94,REP029,Partner
O00227,CUST0300,Pro Plan,APAC,Q1,2025,28,2008.54,56239.12,REP008,Partner
O00228,CUST0126,Add-on AI,EMEA,Q2,2023,21,1650.63,34663.23,REP011,Online
O00229,CUST0238,API Credits,LATAM,Q3,2024,8,1248.3,9986.4,REP008,Partner
O00230,CUST0293,Starter,APAC,Q4,2024,16,2357.65,37722.4,REP028,Online
O00231,CUST0093,Add-on Analytics,LATAM,Q4,2025,46,1826.32,84010.72,REP001,Partner
O00232,CUST0170,Enterprise,LATAM,Q2,2024,5,447.12,2235.6,REP025,Inside Sales
O00233,CUST0168,Enterprise,EMEA,Q1,2023,32,1784.4,57100.8,REP005,Partner
O00234,CUST0069,Starter,LATAM,Q1,2025,49,2431.61,119148.89,REP024,Direct
O00235,CUST0136,Add-on AI,LATAM,Q2,2023,3,2214.26,6642.78,REP020,Inside Sales
O00236,CUST0191,API Credits,APAC,Q4,2024,44,565.94,24901.36,REP006,Partner
O00237,CUST0021,Enterprise,NA,Q4,2023,49,1986.32,97329.68,REP009,Online
O00238,CUST0294,Add-on AI,APAC,Q2,2024,42,250.92,10538.64,REP004,Inside Sales
O00239,CUST0293,Pro Plan,NA,Q1,2024,11,2387.53,26262.83,REP025,Partner
O00240,CUST0013,Pro Plan,APAC,Q2,2025,38,1885.73,71657.74,REP007,Inside Sales
O00241,CUST0030,Add-on AI,EMEA,Q3,2025,48,1302.88,62538.24,REP030,Direct
O00242,CUST0256,Pro Plan,NA,Q4,2024,6,565.52,3393.12,REP005,Inside Sales
O00243,CUST0060,Enterprise,EMEA,Q1,2025,10,1842.8,18428.0,REP004,Inside Sales
O00244,CUST0028,Pro Plan,NA,Q4,2024,49,1667.45,81705.05,REP004,Direct
O00245,CUST0093,Pro Plan,NA,Q4,2024,7,367.28,2570.96,REP020,Direct
O00246,CUST0271,Add-on Analytics,EMEA,Q4,2023,47,890.2,41839.4,REP007,Partner
O00247,CUST0195,Starter,EMEA,Q1,2024,37,521.49,19295.13,REP018,Direct
O00248,CUST0155,Add-on AI,NA,Q2,2024,42,2198.34,92330.28,REP005,Online
O00249,CUST0286,API Credits,LATAM,Q2,2023,6,746.9,4481.4,REP021,Partner
O00250,CUST0069,Enterprise,APAC,Q3,2023,37,1679.06,62125.22,REP013,Partner
O00251,CUST0188,Starter,LATAM,Q1,2025,13,1766.53,22964.89,REP027,Direct
O00252,CUST0177,Enterprise,LATAM,Q1,2023,46,1684.03,77465.38,REP027,Direct
O00253,CUST0142,Enterprise,LATAM,Q1,2023,30,340.69,10220.7,REP030,Online
O00254,CUST0067,Enterprise,NA,Q3,2025,24,999.05,23977.2,REP009,Direct
O00255,CUST0028,Add-on Analytics,NA,Q2,2023,10,2475.74,24757.4,REP012,Partner
O00256,CUST0031,Enterprise,NA,Q4,2023,36,1262.4,45446.4,REP015,Direct
O00257,CUST0117,Enterprise,EMEA,Q4,2024,38,104.83,3983.54,REP028,Online
O00258,CUST0082,API Credits,NA,Q1,2024,21,689.6,14481.6,REP008,Online
O00259,CUST0186,Add-on Analytics,LATAM,Q1,2023,4,355.5,1422.0,REP019,Inside Sales
O00260,CUST0190,Add-on Analytics,APAC,Q3,2024,20,1576.12,31522.4,REP012,Online
O00261,CUST0055,Enterprise,APAC,Q4,2023,16,665.64,10650.24,REP015,Inside Sales
O00262,CUST0061,Add-on AI,NA,Q1,2023,3,1409.61,4228.83,REP002,Partner
O00263,CUST0052,Add-on Analytics,LATAM,Q1,2025,27,1406.92,37986.84,REP009,Direct
O00264,CUST0279,Pro Plan,NA,Q4,2023,28,1314.89,36816.92,REP026,Online
O00265,CUST0056,Starter,NA,Q4,2023,10,1502.23,15022.3,REP015,Direct
O00266,CUST0053,Enterprise,NA,Q2,2025,3,1051.04,3153.12,REP015,Partner
O00267,CUST0148,Starter,APAC,Q3,2023,4,2041.84,8167.36,REP016,Online
O00268,CUST0101,Pro Plan,NA,Q2,2024,12,329.8,3957.6,REP019,Inside Sales
O00269,CUST0182,Add-on Analytics,LATAM,Q2,2024,35,2155.54,75443.9,REP023,Inside Sales
O00270,CUST0288,Pro Plan,APAC,Q3,2024,2,551.18,1102.36,REP007,Partner
O00271,CUST0224,Add-on Analytics,LATAM,Q4,2023,29,2308.82,66955.78,REP027,Partner
O00272,CUST0124,Enterprise,LATAM,Q1,2024,38,206.98,7865.24,REP001,Direct
O00273,CUST0052,Starter,APAC,Q1,2024,26,1066.27,27723.02,REP021,Direct
O00274,CUST0249,API Credits,LATAM,Q1,2023,4,1144.98,4579.92,REP004,Online
O00275,CUST0300,Enterprise,NA,Q1,2023,48,1655.0,79440.0,REP027,Online
O00276,CUST0034,Starter,EMEA,Q1,2024,16,1685.89,26974.24,REP002,Online
O00277,CUST0255,Add-on Analytics,LATAM,Q1,2025,20,1634.13,32682.6,REP021,Partner
O00278,CUST0062,Add-on Analytics,LATAM,Q1,2023,30,1496.28,44888.4,REP020,Online
O00279,CUST0077,Enterprise,LATAM,Q1,2024,25,2390.86,59771.5,REP010,Direct
O00280,CUST0120,Enterprise,APAC,Q4,2024,37,702.13,25978.81,REP014,Partner
O00281,CUST0149,Add-on AI,NA,Q2,2025,45,2419.25,108866.25,REP020,Inside Sales
O00282,CUST0136,Enterprise,LATAM,Q1,2023,46,2065.24,95001.04,REP028,Partner
O00283,CUST0236,Add-on AI,EMEA,Q1,2023,30,174.9,5247.0,REP004,Direct
O00284,CUST0015,API Credits,APAC,Q4,2023,11,1668.85,18357.35,REP004,Direct
O00285,CUST0293,Add-on AI,LATAM,Q2,2024,44,1769.45,77855.8,REP029,Partner
O00286,CUST0276,Add-on AI,APAC,Q1,2023,29,2408.17,69836.93,REP030,Direct
O00287,CUST0156,Add-on AI,EMEA,Q1,2025,26,2240.7,58258.2,REP006,Direct
O00288,CUST0120,Add-on AI,LATAM,Q4,2024,34,1307.21,44445.14,REP017,Online
O00289,CUST0014,Starter,NA,Q4,2023,35,472.81,16548.35,REP014,Inside Sales
O00290,CUST0093,Enterprise,LATAM,Q3,2024,43,279.56,12021.08,REP019,Direct
O00291,CUST0044,Enterprise,LATAM,Q3,2025,26,274.18,7128.68,REP022,Online
O00292,CUST0259,Enterprise,LATAM,Q2,2025,43,1087.51,46762.93,REP024,Inside Sales
